world,science,uk,us,teesside,tyneside,sunderland,worcester,bedford
"[('Former Indian MP shot dead live on TV', 0.725655198097229), ('Indian gangster-turned-politician shot dead on live television', 0.655484676361084), ('Former Indian lawmaker slain live on TV while in police custody', 0.6167944073677063), ('Moments before former Indian MP shot live on TV', 0.6080214381217957)]","[('Can you solve it? Pawn pandemonium', 0.8861339092254639), ('Did you solve it? The infinite monkey theorem', 0.5099518299102783)]","[(""The ultimate guide to the King's coronation: Timings, procession route, and how to watch"", 0.7236125469207764)]","[('Judge delays Dominion and Fox News trial until Tuesday', 0.8641374111175537), ('What to expect in the Dominion v. Fox defamation trial', 0.5368139147758484)]",,"[('Newcastle fans warned of Metro line closure ahead of Man United clash', 0.758527398109436)]","[(""Work underway on huge new Tesco and Home Bargains stores - here's when they'll open"", 0.5499703884124756)]",,
"[('Dozens killed as army, rivals battle for control of Sudan', 0.8616081476211548), ('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.6889433860778809), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.6395138502120972), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.6069198846817017), ('Why violence has erupted in Sudan', 0.6034586429595947), ('Violence spreads in Sudan on third day of fighting', 0.5693932771682739), ('Sudan’s army and rival force battle, killing at least 56', 0.5336602330207825), ('Airstrikes hit Sudanese capital as paramilitary force clashes with army', 0.5290107727050781), (""A simple guide to what's going on in Sudan"", 0.5125434994697571), ('Three UN aid workers among 61 killed in Sudan as crisis talks under way', 0.504388689994812), ('Who are the Rapid Support Forces clashing with Sudan’s military?', 0.5010543465614319)]","[('Did you solve it? Pawn pandemonium', 0.8861339092254639)]","[('Ambulance staff in England vote for pay deal, union says', 0.6002850532531738)]","[('Judge delays Dominion and Fox News trial until Tuesday', 0.5499699115753174), ('Delaware judge delays start of trial in Dominion lawsuit against Fox News', 0.5368139147758484)]",,"[('Fundraising drive for permanent memorial to Newcastle United legend Hughie Gallacher', 0.6539722681045532)]","[(""Plans go in for new £10m Home Bargains store in North East - here's what to expect"", 0.5499703884124756), ('See inside huge New Look store as it opens at The Bridges in Sunderland after £1m investment', 0.5142950415611267)]",,
"[(""Russia's Wagner releases over 100 Ukrainian prisoners of war for Orthodox Easter"", 0.8825007081031799)]","[('Can you solve it? The infinite monkey theorem', 0.9606768488883972), ('Did you solve it? Pawn pandemonium', 0.5099518299102783)]","[('Racing chiefs condemn protests & look into horse deaths', 0.7753222584724426), (""Protesters are to blame for my horse's death at the Grand National, trainer claims"", 0.6008428931236267), (""'A disgrace': Animal rights groups call for jump racing ban after three horses die at Aintree"", 0.5392412543296814)]","[('Clinging to power does not make Dianne Feinstein a feminist hero', 0.5104969143867493)]",,"[('Hughie Gallacher - the Newcastle United all-time great who embraced triumph and tragedy', 0.6539722681045532)]","[('Sunderland man accused of killing student lover in Newcastle planned to go to Russia', 0.5326612591743469)]",,
"[('Smuggling, secrets and missiles running low: Claims about Ukraine war revealed in Pentagon leaks', 0.7836195826530457), (""Pentagon leaks suspect 'a strange kid'; footage shows large-scale Russian military drills | War latest"", 0.6256297826766968), ('How ‘Top Secret’ came to mean anything but in the US military', 0.508415937423706)]","[('Did you solve it? The infinite monkey theorem', 0.9606768488883972)]","[('Arsenal squander two-goal lead again in draw at West Ham', 0.5190609097480774)]","[('US airman, 21, charged over Pentagon documents leak', 0.6883341670036316)]",,"[('Jobs lost as Gateshead car parts supplier collapses into administration', 0.5624560713768005)]","[(""Sunderland man Aaron Ray 'guilty' of murder of student boyfriend at Newcastle flat"", 0.5326612591743469)]",,
"[(""Putin's intelligence problem and Pentagon leaks | Defence in Depth"", 0.508415937423706)]",,"[('Watch: Activists delay start to Grand National', 0.5400841236114502)]","[('Mike Pompeo says he will not run for president in 2024 election', 0.7846570014953613)]",,"[('Seeking nominations for awards recognising North East criminal justice workers', 0.5109648704528809)]",,,
"[('Germany shuts down its final three nuclear power plants, but govt admits plan has downsides', 0.749017596244812), ('Germany ends nuclear power era, shuts down last of its plants', 0.746704638004303), ('Over and out: Germany switches off its last nuclear plants', 0.7465210556983948)]",,"[(""Nurses' strike warning and PM's maths promise"", 0.5679409503936768), ('Further nursing strikes ‘not sustainable’ for NHS, ministers warned', 0.5624843835830688), (""'Full and final' pay offer made to nurses, as NHS leader warns escalation of action would 'endanger patient safety'"", 0.5538574457168579), ('Why NHS in England appears destined for months of further strikes', 0.5317199230194092), ('Ambulance staff in England vote for pay deal, union says', 0.503442645072937), ('NHS crisis deepens as nursing union plans ‘mega strike’ in England', 0.5034216642379761)]","[('Democratic senators condemn federal judge’s ruling to block abortion drug', 0.5424195528030396)]",,"[('Two witnesses saw murder accused stabbing his brother with kitchen knife', 0.621340811252594)]",,,
"[('Macron defies protests to sign pension age rise into law', 0.5282269716262817)]",,"[('Jittery Arsenal losing their grip with summit in sight', 0.5190609097480774)]","[('Four people killed and 28 injured in Alabama shooting at birthday party', 0.8798454999923706), (""Four dead in Alabama 'Sweet 16' birthday party shooting"", 0.8174525499343872), ('Four people killed and others injured in Alabama shooting – video', 0.8011561632156372)]",,"[(""'I have killed my brother' - murder accused told paramedic after fatal brawl"", 0.621340811252594)]",,,
"[(""South Korea's military fires warning shots at North Korean vessel"", 0.5157095193862915)]",,"[(""UK's Royal Mail and union reach pay and employment terms deal"", 0.6002850532531738), ('Nurses in England reject pay offer, plan more strikes', 0.503442645072937)]","[('Airman suspected of leaking secret US documents hit with federal charges', 0.6883341670036316)]",,"[('Police release image after man is allegedly assaulted in North East nightclub', 0.7743483781814575), (""Police investigating reports of rape in a Newcastle nightclub release image of man they'd like to trace"", 0.6926209926605225)]",,,
"[('Three UN aid workers among 61 killed in Sudan as crisis talks under way', 0.5804992318153381)]",,"[(""Public urged to 'remain calm' after vandals target pub that displayed golliwog dolls"", 0.5769444704055786)]","[('AR-15: The lethal weapon at heart of US gun debate', 0.7804429531097412)]",,"[('Teenager accused of Tomasz Oleszak murder in Gateshead park admits carrying a knife', 0.6165869832038879), (""Teenager accused of North East park murder says he took knife, 'for re-assurance'"", 0.6161330938339233)]",,,
"[('‘Tummy tuck tourists’ killed by Mexican cartel had drug convictions', 0.6469277143478394)]",,"[(""'There are more to come': Labour frontbencher defends attack ads on PM"", 0.5426294207572937)]","[(""How the AR-15 became 'America's national gun'"", 0.7804429531097412)]",,"[(""Karl Pyle's heartbroken family pay tribute to their 'happy go lucky lad'"", 0.581875741481781)]",,,
