world,science,uk,us,teesside,tyneside,sunderland,worcester,bedford
"[('Violence spreads in Sudan on third day of fighting', 0.7607824802398682), (""A simple guide to what's going on in Sudan"", 0.6986755132675171), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.6756775975227356), ('Vladimir Putin’s war has exploded into Sudan', 0.6141928434371948), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.6094973683357239), ('Dozens killed as army, rivals battle for control of Sudan', 0.6046701669692993), ('Dozens killed during battle in Sudan’s capital', 0.6034586429595947), ('Who are the Rapid Support Forces clashing with Sudan’s military?', 0.5607202053070068), ('Airstrikes hit Sudanese capital as paramilitary force clashes with army', 0.5263922810554504), ('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.5165426135063171), ('Shock and anger in Khartoum, a city not used to war', 0.5046865940093994)]",,,,,,,,
"[('North Korea aims for ‘horror’ with most advanced missile launch yet', 0.5157095193862915)]",,,,,,,,
"[('Japan PM vows G7 security boost after smoke bomb', 0.7980437278747559)]",,,,,,,,
"[('Archeologists in Italy unearth ancient dolphin statuette', 0.5832322835922241)]",,,,,,,,
"[(""Putin's intelligence problem and Pentagon leaks | Defence in Depth"", 0.7836195826530457), (""Pentagon leaks suspect 'a strange kid'; footage shows large-scale Russian military drills | War latest"", 0.6606114506721497), ('Ukraine live briefing: China says it won’t send weapons to Russia; suspected U.S. leaker charged', 0.5036767721176147)]",,,,,,,,
"[('Gunmen storm Mexican resort, kill seven people, including child', 0.7296848893165588)]",,,,,,,,
"[('Fire in Dubai kills 16, injures 9 in apartment building', 0.8908771872520447), ('Sixteen dead in fire at Dubai apartment building', 0.752842128276825)]",,,,,,,,
"[('Former Indian MP shot dead live on TV', 0.7910507917404175), ('Former Indian lawmaker slain live on TV while in police custody', 0.6873672008514404), ('Gunmen kill former Indian MP on live television', 0.655484676361084), ('Moments before former Indian MP shot live on TV', 0.5736328363418579)]",,,,,,,,
"[('Germany shuts all of its nuclear plants – and is warned it will regret it', 0.749017596244812), ('Germany ends nuclear power era, shuts down last of its plants', 0.7177659869194031), ('Over and out: Germany switches off its last nuclear plants', 0.637642502784729)]",,,,,,,,
"[('Dozens killed during battle in Sudan’s capital', 0.6889433860778809), ('Dozens killed as army, rivals battle for control of Sudan', 0.6633027791976929), ('Sudan’s army and rival force battle, killing at least 56', 0.6407479047775269), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.6190141439437866), ('Why violence has erupted in Sudan', 0.5165426135063171), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5090665221214294)]",,,,,,,,
"[('Explosive thrown at Japan PM at campaign event; 1 hurt', 0.5638259649276733)]",,,,,,,,
"[('Russians boasted that just 1% of fake social profiles are caught, leak shows', 0.5157586336135864), ('FBI used social media records to identify US airman as suspect over Pentagon documents leak', 0.5051478147506714)]",,,,,,,,
"[('Sons of ‘El Chapo’ hit with fentanyl charges; victims fed to tigers, U.S. alleges', 0.5235722064971924)]",,,,,,,,
"[('It’s ‘The Joe Show’ as Biden closes out Ireland visit', 0.6930166482925415)]",,,,,,,,
"[(""US intelligence leaks suspect 'had more online friends than real friends'"", 0.5051478147506714)]",,,,,,,,
"[('Why violence has erupted in Sudan', 0.7607824802398682), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.6283164024353027), ('Vladimir Putin’s war has exploded into Sudan', 0.5848930478096008), ('Dozens killed as army, rivals battle for control of Sudan', 0.578095555305481), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5761685967445374), ('Dozens killed during battle in Sudan’s capital', 0.5693932771682739), (""A simple guide to what's going on in Sudan"", 0.5592964887619019)]",,,,,,,,
"[('Why violence has erupted in Sudan', 0.5046865940093994)]",,,,,,,,
"[(""Four dead in Alabama 'Sweet 16' birthday party shooting"", 0.77448570728302)]",,,,,,,,
"[('Indian gangster-turned-politician shot dead on live television', 0.7910507917404175), ('Former Indian lawmaker slain live on TV while in police custody', 0.7305822372436523), ('Gunmen kill former Indian MP on live television', 0.725655198097229), ('Moments before former Indian MP shot live on TV', 0.707118034362793)]",,,,,,,,
"[('Fire in Dubai apartment building kills 16', 0.752842128276825), ('Fire in Dubai kills 16, injures 9 in apartment building', 0.6982218027114868)]",,,,,,,,
"[('Poland, Hungary ban grain and food imports from Ukraine', 0.7416930198669434), ('EU warns against unilateral steps after Poland, Hungary ban Ukrainian grain', 0.7091735601425171), ('Brussels rebukes EU members for ‘abandoning’ Ukraine with grain bans', 0.5936697125434875)]",,,,,,,,
"[('Japanese leader vows to tighten security for G7 after smoke bomb', 0.7980437278747559)]",,,,,,,,
"[('Macron’s unpopular pension plan enacted into French law', 0.550419807434082), ('France braced for more protests as increase to pension age passes', 0.5282269716262817)]",,,,,,,,
"[('Why violence has erupted in Sudan', 0.6986755132675171), ('Who are the Rapid Support Forces clashing with Sudan’s military?', 0.586227297782898), ('Violence spreads in Sudan on third day of fighting', 0.5592964887619019), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.5521658062934875), ('Dozens killed during battle in Sudan’s capital', 0.5125434994697571)]",,,,,,,,
"[('Former Indian MP shot dead live on TV', 0.707118034362793), ('Gunmen kill former Indian MP on live television', 0.6080214381217957), ('Indian gangster-turned-politician shot dead on live television', 0.5736328363418579), ('Former Indian lawmaker slain live on TV while in police custody', 0.5678458213806152)]",,,,,,,,
"[('Why violence has erupted in Sudan', 0.6756776571273804), ('Dozens killed during battle in Sudan’s capital', 0.6069198846817017), ('Violence spreads in Sudan on third day of fighting', 0.5761685371398926), ('Airstrikes hit Sudanese capital as paramilitary force clashes with army', 0.5753821730613708), ('Who are the Rapid Support Forces clashing with Sudan’s military?', 0.5662569403648376), ('Gunshots heard on air during Sudan news bulletin', 0.5656298398971558), ('Dozens killed as army, rivals battle for control of Sudan', 0.5645563006401062), (""A simple guide to what's going on in Sudan"", 0.5521658658981323), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.5259802341461182), ('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.5090664625167847)]",,,,,,,,
"[('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.565629780292511)]",,,,,,,,
